Loft,Drag,Lift,PathAngle,FaceAngle,ClubSpeed,BallSpeed,LaunchAngle,SideAngle,SpinRPM,Carry,Apex,FlightTime,FinalPosX,FinalPosY,FinalPosZ
24,True,True,0,0,24.90,37.16,22.1,22.1,21407,82.25,9.06,2.72,0.00,0.00,82.42
24,True,False,0,0,24.98,37.30,22.9,22.9,21487,84.67,9.72,2.82,0.00,0.00,84.75
24,False,True,0,0,24.98,37.31,23.0,23.0,21491,102.06,10.80,2.97,0.00,0.00,102.13
24,False,False,0,0,24.77,36.99,20.2,-20.2,21307,90.29,8.30,2.60,0.00,0.00,90.25
24,True,True,0,10,24.98,36.74,22.7,24.7,21163,82.02,9.31,2.76,14.25,0.00,80.84
24,True,False,0,10,24.97,36.73,22.9,24.9,21154,82.37,9.45,2.77,14.31,0.00,81.21
24,False,True,0,10,24.97,36.73,22.6,24.6,21157,97.47,10.12,2.87,16.93,0.00,96.06
24,False,False,0,10,24.97,36.73,22.8,24.8,21155,98.16,10.27,2.90,17.05,0.00,96.76
24,True,True,10,0,24.98,37.30,22.9,24.9,21487,84.49,9.69,2.81,14.69,0.00,83.29
24,True,False,10,0,24.80,37.03,20.4,22.7,21331,77.49,7.78,2.52,13.45,0.00,76.27
24,False,True,10,0,24.97,37.29,22.8,24.8,21481,101.16,10.61,2.94,17.58,0.00,99.72
24,False,False,10,0,24.83,37.08,20.6,22.8,21359,92.45,8.68,2.66,16.05,0.00,91.02
24,True,True,10,10,24.82,36.50,20.6,28.4,21025,75.88,7.69,2.50,25.97,0.00,71.27
24,True,False,10,10,24.79,36.45,20.4,28.3,20997,75.20,7.53,2.48,25.74,0.00,70.61
24,False,True,10,10,24.97,36.73,23.2,30.2,21158,99.48,10.60,2.95,34.04,0.00,93.57
24,False,False,10,10,24.97,36.73,23.1,30.2,21157,99.39,10.59,2.94,34.01,0.00,93.49
32,True,True,0,0,24.97,37.29,30.8,30.8,28637,99.57,16.40,3.66,0.00,0.00,99.67
32,True,False,0,0,24.97,37.29,30.7,30.7,28640,99.47,16.35,3.65,0.00,0.00,99.56
32,False,True,0,0,24.83,37.09,28.8,-28.8,28483,118.34,16.24,3.64,0.00,0.00,118.29
32,False,False,0,0,24.79,36.96,27.6,-27.6,28385,114.14,14.86,3.48,0.00,0.00,114.31
32,True,True,0,10,24.97,36.72,30.8,32.2,28203,97.07,15.98,3.61,16.86,0.00,95.69
32,True,False,0,10,24.97,36.72,30.6,32.1,28202,96.73,15.79,3.59,16.80,0.00,95.35
32,False,True,0,10,24.97,36.73,30.9,32.3,28208,121.08,18.09,3.84,21.03,0.00,119.33
32,False,False,0,10,24.97,36.72,30.9,32.4,28201,121.12,18.13,3.85,21.04,0.00,119.38
32,True,True,10,0,24.78,37.00,28.2,29.8,28417,94.28,13.90,3.37,16.37,0.00,92.81
32,True,False,10,0,24.97,37.29,31.0,32.4,28636,99.74,16.57,3.67,17.34,0.00,98.32
32,False,True,10,0,24.98,37.31,30.9,32.3,28652,125.08,18.67,3.91,21.73,0.00,123.25
32,False,False,10,0,24.80,37.04,28.5,30.0,28447,117.10,15.84,3.60,20.33,0.00,115.28
32,True,True,10,10,24.97,36.72,30.9,36.3,28204,97.25,16.05,3.62,33.28,0.00,91.48
32,True,False,10,10,24.98,36.74,30.9,36.2,28214,97.12,16.02,3.61,33.23,0.00,91.34
32,False,True,10,10,24.81,36.49,28.7,34.5,28025,114.26,15.58,3.57,39.10,0.00,107.31
32,False,False,10,10,24.81,36.48,28.5,34.3,28018,113.62,15.39,3.54,38.89,0.00,106.72
36,True,True,0,0,24.97,37.30,34.8,34.8,32223,104.34,20.20,4.06,0.00,0.00,104.43
36,True,False,0,0,24.98,37.31,35.0,35.0,32233,104.49,20.41,4.08,0.00,0.00,104.57
36,False,True,0,0,24.79,37.02,32.4,-32.4,31987,126.34,20.00,4.04,0.00,0.00,126.30
36,False,False,0,0,24.97,37.29,34.6,34.6,32217,132.35,22.78,4.31,0.00,0.00,132.44
36,True,True,0,10,24.97,36.73,35.0,36.2,31734,101.95,19.82,4.02,17.71,0.00,100.49
36,True,False,0,10,24.97,36.73,34.5,35.8,31733,101.41,19.36,3.97,17.62,0.00,99.94
36,False,True,0,10,24.83,36.52,32.8,34.1,31550,123.63,19.88,4.03,21.50,0.00,121.71
36,False,False,0,10,24.97,36.73,34.8,36.0,31731,128.72,22.32,4.27,22.36,0.00,126.86
36,True,True,10,0,24.97,37.29,34.9,36.1,32222,104.38,20.30,4.07,18.14,0.00,102.89
36,True,False,10,0,24.98,37.31,34.8,36.1,32234,104.36,20.23,4.06,18.13,0.00,102.85
36,False,True,10,0,24.82,37.06,32.6,33.9,32019,126.97,20.22,4.06,22.04,0.00,125.01
36,False,False,10,0,24.97,37.29,34.9,36.1,32219,132.93,23.14,4.35,23.10,0.00,131.01
36,True,True,10,10,24.97,36.72,34.9,39.6,31723,101.84,19.69,4.01,34.85,0.00,95.80
36,True,False,10,10,24.84,36.53,32.9,37.9,31562,98.89,17.69,3.80,33.84,0.00,92.87
36,False,True,10,10,24.85,36.55,32.8,37.8,31577,123.95,19.94,4.04,42.42,0.00,116.44
36,False,False,10,10,24.97,36.73,34.9,39.6,31733,129.00,22.46,4.28,44.14,0.00,121.31
